Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,26.600000,26.900000,26.473301,26.900000,24.703302,11443650
2018-07-03,27.173300,27.833300,26.980000,27.533300,25.284887,14621850
2018-07-04,27.666700,27.986700,27.473301,27.980000,25.695105,11713500
2018-07-05,28.066700,28.133301,27.333300,27.799999,25.529804,14655900
2018-07-06,27.866699,28.180000,27.680000,28.053301,25.762426,11417250
2018-07-10,28.219999,28.520000,27.653299,28.126699,25.829824,22691850
2018-07-11,27.840000,28.413300,27.840000,28.240000,25.933872,23444250
2018-07-12,28.373301,28.840000,28.326700,28.773300,26.423622,20319150
2018-07-13,28.620001,29.513300,28.620001,29.506701,27.097128,19735650
2018-07-16,29.459999,29.639999,29.139999,29.400000,26.999149,14267400
2018-07-17,29.200001,30.093300,29.153299,29.953300,27.507263,16505700
2018-07-18,29.846701,30.000000,29.540001,29.573299,27.158289,14705100
2018-07-19,29.253300,30.000000,28.980000,30.000000,27.550146,15625200
2018-07-20,30.840000,31.033300,30.586700,30.853300,28.333769,25491600
2018-07-23,30.760000,30.813299,30.166700,30.260000,27.788912,12138750
2018-07-24,30.586700,30.653299,30.080000,30.240000,27.770544,17226450
2018-07-25,30.540001,31.386700,30.520000,31.193300,28.645998,17867400
2018-07-26,30.946699,31.200001,30.473301,30.700001,28.192986,21151050
2018-07-27,30.873301,31.126699,30.559999,30.866699,28.346077,19142400
2018-07-30,31.046700,31.533300,30.953300,31.313299,28.756201,15570750
2018-07-31,30.526699,30.713301,29.933300,30.000000,27.550146,35539350
2018-08-01,29.986700,30.453300,29.933300,30.366699,27.896200,18910050
2018-08-02,30.133301,30.653299,29.873301,30.473301,27.994133,18909450
2018-08-03,30.700001,31.286699,30.700001,31.200001,28.661711,18072450
2018-08-06,31.326700,31.440001,30.799999,30.973301,28.453455,13164000
2018-08-07,31.166700,31.233299,30.346701,30.786699,28.282032,20860350
2018-08-08,30.786699,31.133301,30.046700,30.066700,27.620607,21587550
2018-08-09,30.333300,30.433300,29.680000,29.906700,27.473631,15496050
2018-08-10,29.446699,29.453300,28.520000,28.820000,26.475336,22262850
2018-08-13,28.600000,29.340000,28.299999,29.046700,26.683592,25018650
2018-08-14,29.506701,29.686701,29.166700,29.646700,27.234777,15834450
2018-08-15,29.153299,29.566700,29.000000,29.446699,27.051050,23446950
2018-08-16,29.540001,29.666700,29.246700,29.406700,27.014301,14976900
2018-08-17,29.000000,29.246700,28.626699,28.653299,26.322195,20311500
2018-08-20,28.013300,28.513300,27.959999,28.353300,26.430326,25705650
2018-08-21,28.146700,28.360001,27.733299,27.986700,26.088596,22427400
2018-08-22,27.873301,28.700001,27.666700,28.653299,26.709982,13232700
2018-08-23,28.639999,28.820000,27.540001,27.540001,25.672188,20467050
2018-08-24,28.066700,28.120001,27.459999,27.746700,25.864872,10278000
2018-08-27,28.066700,28.726700,27.906700,28.666700,26.722469,16135650
2018-08-28,28.500000,28.713301,28.219999,28.466700,26.536039,13424250
2018-08-29,28.526699,29.020000,28.500000,28.940001,26.977240,10291350
2018-08-30,28.706699,28.799999,27.780001,27.799999,25.914557,18547650
2018-08-31,27.786699,28.420000,27.786699,28.180000,26.268780,18399000
2018-09-03,27.893299,28.020000,27.780001,27.780001,25.905107,6474900
2018-09-04,27.726700,27.920000,27.313299,27.540001,25.681303,17615850
2018-09-05,27.333300,27.900000,27.206699,27.700001,25.830502,11727750
2018-09-06,27.913300,28.626699,27.573299,28.400000,26.483261,19666350
2018-09-10,28.726700,28.766701,28.333300,28.660000,26.725714,14228100
2018-09-11,28.120001,28.126699,27.513300,27.673300,25.805603,21475950
2018-09-12,27.920000,28.106701,27.559999,27.753300,25.880211,19542600
2018-09-13,27.913300,27.993299,27.473301,27.600000,25.737251,17702850
2018-09-14,27.553301,28.253300,27.546700,28.086700,26.191105,18744900
